Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
207	0.0029	0.0012	0.0025	0.0040
208	0.0056	0.0020	0.0025	0.0065
209	0.0012	0.0038	0.0033	0.0051
210	0.0005	0.0048	0.0015	0.0051
211	0.0011	0.0054	0.0049	0.0073
212	0.0052	0.0038	0.0041	0.0076
213	0.0006	0.0025	0.0015	0.0030
214	0.0015	0.0030	0.0050	0.0060
215	0.0033	0.0025	0.0037	0.0056
216	0.0012	0.0033	0.0043	0.0055
217	0.0019	0.0020	0.0011	0.0029
218	0.0040	0.0051	0.0018	0.0067
219	0.0002	0.0049	0.0013	0.0051
220	0.0024	0.0006	0.0024	0.0034
221	0.0007	0.0025	0.0013	0.0029
222	0.0012	0.0038	0.0025	0.0047
223	0.0021	0.0030	0.0005	0.0037
224	0.0024	0.0067	0.0030	0.0077
225	0.0024	0.0030	0.0018	0.0042
226	0.0010	0.0026	0.0014	0.0032
227	0.0028	0.0042	0.0015	0.0053
228	0.0033	0.0067	0.0026	0.0079
229	0.0022	0.0031	0.0029	0.0048
230	0.0034	0.0040	0.0068	0.0085
231	0.0019	0.0030	0.0023	0.0042
232	0.0014	0.0056	0.0028	0.0064
233	0.0022	0.0030	0.0007	0.0037
234	0.0022	0.0014	0.0009	0.0027
235	0.0025	0.0017	0.0016	0.0034
236	0.0016	0.0006	0.0018	0.0024
237	0.0029	0.0040	0.0016	0.0052
238	0.0024	0.0040	0.0013	0.0049
239	0.0030	0.0019	0.0010	0.0037
240	0.0001	0.0032	0.0014	0.0035
241	0.0008	0.0023	0.0024	0.0035
242	0.0022	0.0023	0.0043	0.0053
243	0.0020	0.0009	0.0011	0.0025
244	0.0014	0.0032	0.0025	0.0043
245	0.0020	0.0028	0.0020	0.0040
246	0.0018	0.0016	0.0024	0.0034
247	0.0016	0.0009	0.0011	0.0021
248	0.0002	0.0028	0.0014	0.0031
249	0.0015	0.0033	0.0026	0.0045
250	0.0004	0.0016	0.0027	0.0031
251	0.0008	0.0044	0.0003	0.0045
252	0.0017	0.0009	0.0012	0.0023
253	0.0006	0.0027	0.0022	0.0035
254	0.0011	0.0018	0.0015	0.0026
255	0.0023	0.0058	0.0017	0.0065
256	0.0017	0.0026	0.0008	0.0032
257	0.0054	0.0081	0.0022	0.0100
258	0.0051	0.0038	0.0047	0.0079
259	0.0054	0.0017	0.0026	0.0063
260	0.0048	0.0038	0.0024	0.0066
261	0.0034	0.0037	0.0027	0.0057
262	0.0023	0.0063	0.0004	0.0068
263	0.0013	0.0031	0.0014	0.0037
264	0.0005	0.0016	0.0043	0.0046
265	0.0015	0.0013	0.0031	0.0037
266	0.0015	0.0005	0.0017	0.0023
267	0.0007	0.0017	0.0021	0.0028
268	0.0058	0.0052	0.0025	0.0082
269	0.0019	0.0024	0.0013	0.0033
270	0.0020	0.0024	0.0053	0.0061
271	0.0021	0.0020	0.0021	0.0036
272	0.0006	0.0014	0.0020	0.0025
273	0.0014	0.0026	0.0010	0.0031
274	0.0036	0.0029	0.0044	0.0064
275	0.0020	0.0033	0.0027	0.0047
276	0.0010	0.0013	0.0020	0.0026
277	0.0012	0.0028	0.0020	0.0036
278	0.0007	0.0036	0.0028	0.0046
279	0.0013	0.0012	0.0034	0.0038
280	0.0003	0.0011	0.0031	0.0033
281	0.0018	0.0019	0.0014	0.0030
282	0.0013	0.0012	0.0025	0.0030
283	0.0013	0.0035	0.0024	0.0044
284	0.0028	0.0039	0.0006	0.0048
285	0.0018	0.0050	0.0046	0.0071
286	0.0035	0.0036	0.0035	0.0061
287	0.0025	0.0045	0.0044	0.0068
288	0.0023	0.0011	0.0020	0.0032
289	0.0015	0.0032	0.0020	0.0041
290	0.0017	0.0015	0.0023	0.0033
291	0.0006	0.0022	0.0024	0.0033
292	0.0010	0.0006	0.0025	0.0027
293	0.0055	0.0019	0.0041	0.0071
294	0.0083	0.0017	0.0049	0.0098
295	0.0026	0.0011	0.0014	0.0031
296	0.0043	0.0017	0.0025	0.0053
297	0.0029	0.0024	0.0046	0.0060
298	0.0032	0.0033	0.0003	0.0046
299	0.0023	0.0029	0.0038	0.0053
300	0.0046	0.0002	0.0009	0.0047
301	0.0147	0.0039	0.0061	0.0164
302	0.0073	0.0023	0.0091	0.0119
303	0.0094	0.0008	0.0061	0.0112
304	0.0037	0.0014	0.0016	0.0043
305	0.0016	0.0010	0.0031	0.0036
306	0.0025	0.0039	0.0029	0.0054
307	0.0037	0.0031	0.0012	0.0050
308	0.0030	0.0015	0.0018	0.0038
309	0.0075	0.0025	0.0068	0.0104
310	0.0010	0.0019	0.0027	0.0035
311	0.0035	0.0014	0.0031	0.0049
312	0.0014	0.0017	0.0010	0.0024
313	0.0019	0.0043	0.0022	0.0052
314	0.0033	0.0030	0.0027	0.0052
315	0.0021	0.0013	0.0001	0.0025
316	0.0023	0.0039	0.0019	0.0049
317	0.0008	0.0007	0.0019	0.0022
318	0.0017	0.0019	0.0019	0.0031
319	0.0042	0.0023	0.0002	0.0049
320	0.0014	0.0006	0.0014	0.0020
321	0.0020	0.0024	0.0023	0.0039
322	0.0010	0.0020	0.0026	0.0035
323	0.0016	0.0014	0.0020	0.0029
324	0.0015	0.0022	0.0025	0.0037
325	0.0015	0.0005	0.0013	0.0020
326	0.0014	0.0012	0.0007	0.0020
327	0.0021	0.0015	0.0016	0.0030
328	0.0033	0.0016	0.0014	0.0039
329	0.0019	0.0023	0.0005	0.0030
330	0.0017	0.0004	0.0029	0.0033
331	0.0007	0.0026	0.0005	0.0027
332	0.0006	0.0005	0.0024	0.0025
333	0.0017	0.0020	0.0017	0.0031
334	0.0015	0.0010	0.0018	0.0025
335	0.0012	0.0005	0.0019	0.0023
336	0.0014	0.0004	0.0013	0.0020
337	0.0013	0.0006	0.0021	0.0025
338	0.0009	0.0004	0.0012	0.0015
339	0.0013	0.0016	0.0007	0.0021
340	0.0021	0.0017	0.0024	0.0036
341	0.0005	0.0010	0.0008	0.0014
342	0.0016	0.0002	0.0038	0.0041
343	0.0019	0.0020	0.0037	0.0046
344	0.0018	0.0015	0.0011	0.0026
345	0.0031	0.0019	0.0006	0.0037
346	0.0016	0.0018	0.0016	0.0029
347	0.0006	0.0010	0.0006	0.0013
348	0.0009	0.0025	0.0017	0.0031
349	0.0018	0.0011	0.0010	0.0024
350	0.0005	0.0036	0.0006	0.0037
351	0.0004	0.0033	0.0020	0.0039
352	0.0014	0.0015	0.0010	0.0022
353	0.0011	0.0009	0.0017	0.0022
354	0.0007	0.0024	0.0013	0.0028
355	0.0010	0.0018	0.0008	0.0022
356	0.0012	0.0007	0.0025	0.0029
357	0.0010	0.0011	0.0010	0.0018
358	0.0008	0.0013	0.0011	0.0019
359	0.0008	0.0005	0.0019	0.0021
360	0.0017	0.0010	0.0025	0.0032
361	0.0023	0.0013	0.0006	0.0027
362	0.0013	0.0012	0.0005	0.0019
363	0.0017	0.0008	0.0008	0.0020
364	0.0017	0.0008	0.0025	0.0032
365	0.0015	0.0011	0.0028	0.0033
366	0.0009	0.0008	0.0025	0.0028
367	0.0011	0.0009	0.0004	0.0014
368	0.0026	0.0020	0.0034	0.0047
369	0.0008	0.0009	0.0018	0.0021
370	0.0019	0.0022	0.0015	0.0033
371	0.0009	0.0028	0.0009	0.0031
372	0.0020	0.0012	0.0001	0.0024
373	0.0016	0.0026	0.0025	0.0040
374	0.0015	0.0010	0.0015	0.0024
375	0.0023	0.0020	0.0018	0.0035
376	0.0016	0.0017	0.0006	0.0024
377	0.0020	0.0004	0.0017	0.0026
378	0.0020	0.0027	0.0023	0.0041
379	0.0015	0.0010	0.0007	0.0019
380	0.0014	0.0006	0.0002	0.0015
381	0.0006	0.0017	0.0012	0.0021
382	0.0007	0.0023	0.0021	0.0032
383	0.0018	0.0007	0.0012	0.0023
384	0.0010	0.0009	0.0025	0.0028
385	0.0012	0.0002	0.0018	0.0022
386	0.0012	0.0011	0.0008	0.0018
387	0.0010	0.0014	0.0009	0.0019
388	0.0007	0.0002	0.0005	0.0009
389	0.0016	0.0013	0.0016	0.0026
390	0.0023	0.0003	0.0017	0.0029
391	0.0014	0.0007	0.0012	0.0020
392	0.0047	0.0015	0.0030	0.0058
393	0.0042	0.0010	0.0014	0.0045
394	0.0049	0.0012	0.0013	0.0052
395	0.0010	0.0016	0.0018	0.0026
396	0.0027	0.0011	0.0014	0.0032
397	0.0007	0.0027	0.0019	0.0034
398	0.0029	0.0010	0.0016	0.0035
399	0.0008	0.0005	0.0011	0.0015
400	0.0026	0.0015	0.0021	0.0037
401	0.0095	0.0029	0.0050	0.0111
402	0.0423	0.0089	0.0290	0.0521
403	0.0130	0.0026	0.0099	0.0165
404	0.0046	0.0024	0.0023	0.0057
405	0.0029	0.0004	0.0020	0.0036
406	0.0016	0.0012	0.0020	0.0028
407	0.0024	0.0021	0.0017	0.0037
408	0.0024	0.0013	0.0008	0.0028
409	0.0022	0.0016	0.0017	0.0032
410	0.0052	0.0015	0.0029	0.0061
411	0.0017	0.0007	0.0006	0.0020
412	0.0018	0.0014	0.0014	0.0026
413	0.0014	0.0004	0.0020	0.0025
414	0.0006	0.0004	0.0013	0.0015
415	0.0006	0.0013	0.0012	0.0019
416	0.0013	0.0019	0.0011	0.0026
417	0.0007	0.0001	0.0017	0.0018
418	0.0008	0.0013	0.0012	0.0020
419	0.0023	0.0009	0.0010	0.0027
420	0.0019	0.0009	0.0013	0.0025
421	0.0014	0.0015	0.0004	0.0021
422	0.0019	0.0012	0.0013	0.0026
423	0.0006	0.0011	0.0017	0.0021
424	0.0021	0.0002	0.0007	0.0022
425	0.0026	0.0003	0.0014	0.0029
426	0.0011	0.0020	0.0006	0.0024
427	0.0026	0.0014	0.0014	0.0033
428	0.0007	0.0010	0.0033	0.0035
429	0.0028	0.0018	0.0022	0.0040
430	0.0010	0.0023	0.0017	0.0030
431	0.0016	0.0006	0.0006	0.0018
432	0.0010	0.0006	0.0010	0.0015
433	0.0018	0.0013	0.0011	0.0024
434	0.0017	0.0002	0.0013	0.0021
435	0.0022	0.0013	0.0025	0.0035
436	0.0014	0.0010	0.0004	0.0017
437	0.0020	0.0002	0.0012	0.0023
438	0.0008	0.0017	0.0006	0.0020
439	0.0010	0.0004	0.0005	0.0012
440	0.0023	0.0014	0.0026	0.0038
441	0.0017	0.0014	0.0010	0.0024
442	0.0014	0.0008	0.0013	0.0020
443	0.0029	0.0007	0.0009	0.0032
444	0.0010	0.0006	0.0005	0.0013
445	0.0027	0.0007	0.0011	0.0030
446	0.0018	0.0007	0.0011	0.0022
447	0.0018	0.0003	0.0018	0.0026
448	0.0006	0.0028	0.0035	0.0045
449	0.0006	0.0008	0.0012	0.0015
450	0.0007	0.0015	0.0008	0.0019
451	0.0027	0.0010	0.0008	0.0030
452	0.0003	0.0008	0.0018	0.0020
453	0.0013	0.0013	0.0012	0.0022
454	0.0017	0.0011	0.0009	0.0022
455	0.0009	0.0014	0.0032	0.0036
456	0.0017	0.0027	0.0013	0.0035
457	0.0023	0.0017	0.0021	0.0035
458	0.0011	0.0014	0.0005	0.0018
459	0.0026	0.0005	0.0013	0.0029
460	0.0006	0.0024	0.0027	0.0037
461	0.0020	0.0011	0.0009	0.0025
462	0.0022	0.0023	0.0015	0.0035
463	0.0029	0.0013	0.0036	0.0048
464	0.0008	0.0017	0.0020	0.0027
465	0.0015	0.0012	0.0003	0.0019
466	0.0003	0.0021	0.0014	0.0025
467	0.0012	0.0014	0.0009	0.0020
468	0.0006	0.0006	0.0013	0.0015
469	0.0011	0.0008	0.0017	0.0022
470	0.0013	0.0018	0.0011	0.0025
471	0.0014	0.0010	0.0017	0.0024
472	0.0011	0.0009	0.0004	0.0015
473	0.0004	0.0016	0.0015	0.0022
474	0.0011	0.0008	0.0024	0.0028
475	0.0011	0.0005	0.0006	0.0014
476	0.0008	0.0017	0.0023	0.0030
477	0.0013	0.0002	0.0024	0.0027
478	0.0013	0.0015	0.0016	0.0025
479	0.0008	0.0008	0.0030	0.0032
480	0.0012	0.0007	0.0015	0.0020
481	0.0007	0.0016	0.0005	0.0018
482	0.0012	0.0027	0.0005	0.0030
483	0.0011	0.0009	0.0003	0.0014
484	0.0009	0.0010	0.0003	0.0014
485	0.0010	0.0017	0.0017	0.0026
486	0.0012	0.0020	0.0029	0.0038
487	0.0018	0.0020	0.0014	0.0030
488	0.0022	0.0017	0.0006	0.0029
489	0.0004	0.0011	0.0009	0.0015
490	0.0022	0.0009	0.0019	0.0030
491	0.0015	0.0006	0.0005	0.0017
492	0.0015	0.0016	0.0007	0.0023
493	0.0017	0.0011	0.0023	0.0031
494	0.0024	0.0024	0.0026	0.0043
495	0.0019	0.0016	0.0024	0.0034
496	0.0033	0.0006	0.0017	0.0038
497	0.0031	0.0028	0.0019	0.0046
498	0.0009	0.0029	0.0025	0.0040
499	0.0022	0.0028	0.0020	0.0041
500	0.0024	0.0026	0.0021	0.0041
501	0.0042	0.0021	0.0032	0.0057
502	0.0061	0.0017	0.0064	0.0090
503	0.0032	0.0003	0.0047	0.0057
504	0.0037	0.0019	0.0033	0.0053
505	0.0009	0.0011	0.0015	0.0021
506	0.0023	0.0016	0.0015	0.0032
507	0.0016	0.0015	0.0004	0.0022
508	0.0030	0.0012	0.0028	0.0043
509	0.0019	0.0005	0.0011	0.0023
510	0.0047	0.0017	0.0025	0.0056
511	0.0028	0.0008	0.0024	0.0038
512	0.0006	0.0018	0.0013	0.0023
513	0.0013	0.0009	0.0010	0.0019
514	0.0002	0.0013	0.0016	0.0021
515	0.0017	0.0007	0.0006	0.0020
516	0.0011	0.0015	0.0016	0.0025
517	0.0012	0.0006	0.0003	0.0014
518	0.0010	0.0007	0.0010	0.0016
519	0.0012	0.0019	0.0010	0.0025
520	0.0025	0.0018	0.0014	0.0034
521	0.0005	0.0013	0.0011	0.0018
522	0.0013	0.0022	0.0007	0.0027
523	0.0021	0.0005	0.0020	0.0029
524	0.0022	0.0005	0.0006	0.0023
525	0.0008	0.0006	0.0007	0.0012
526	0.0015	0.0016	0.0016	0.0028
527	0.0009	0.0007	0.0007	0.0014
528	0.0009	0.0013	0.0012	0.0020
529	0.0008	0.0005	0.0022	0.0024
530	0.0015	0.0010	0.0012	0.0022
531	0.0008	0.0006	0.0018	0.0021
532	0.0018	0.0019	0.0012	0.0029
533	0.0010	0.0019	0.0010	0.0024
534	0.0015	0.0007	0.0009	0.0019
535	0.0024	0.0008	0.0026	0.0037
536	0.0034	0.0014	0.0016	0.0040
537	0.0007	0.0021	0.0007	0.0023
538	0.0012	0.0010	0.0010	0.0019
539	0.0022	0.0005	0.0008	0.0024
540	0.0008	0.0008	0.0012	0.0017
541	0.0005	0.0008	0.0019	0.0021
542	0.0015	0.0011	0.0015	0.0024
543	0.0032	0.0015	0.0013	0.0038
544	0.0004	0.0016	0.0014	0.0022
545	0.0009	0.0005	0.0023	0.0026
546	0.0008	0.0001	0.0004	0.0009
547	0.0019	0.0022	0.0012	0.0031
548	0.0008	0.0007	0.0006	0.0012
549	0.0007	0.0010	0.0009	0.0015
550	0.0005	0.0010	0.0016	0.0019
551	0.0001	0.0017	0.0010	0.0020
552	0.0008	0.0013	0.0014	0.0020
553	0.0009	0.0007	0.0016	0.0019
554	0.0002	0.0005	0.0019	0.0019
555	0.0003	0.0013	0.0024	0.0027
556	0.0007	0.0004	0.0009	0.0012
557	0.0005	0.0011	0.0000	0.0012
558	0.0011	0.0011	0.0007	0.0017
559	0.0016	0.0012	0.0011	0.0023
560	0.0007	0.0024	0.0010	0.0027
561	0.0008	0.0012	0.0013	0.0019
562	0.0007	0.0010	0.0013	0.0018
563	0.0008	0.0016	0.0014	0.0023
564	0.0010	0.0010	0.0019	0.0024
565	0.0004	0.0012	0.0020	0.0023
566	0.0017	0.0010	0.0013	0.0024
567	0.0014	0.0011	0.0007	0.0020
568	0.0005	0.0007	0.0017	0.0019
569	0.0006	0.0032	0.0020	0.0038
570	0.0013	0.0005	0.0024	0.0027
571	0.0007	0.0014	0.0022	0.0027
572	0.0007	0.0009	0.0014	0.0018
573	0.0016	0.0013	0.0010	0.0023
574	0.0012	0.0019	0.0005	0.0023
575	0.0014	0.0007	0.0009	0.0018
576	0.0012	0.0017	0.0010	0.0023
577	0.0019	0.0011	0.0004	0.0023
578	0.0007	0.0013	0.0013	0.0020
579	0.0005	0.0002	0.0017	0.0018
580	0.0021	0.0003	0.0011	0.0024
581	0.0015	0.0008	0.0017	0.0024
582	0.0006	0.0019	0.0008	0.0021
583	0.0017	0.0010	0.0009	0.0021
584	0.0016	0.0003	0.0017	0.0024
585	0.0015	0.0011	0.0007	0.0019
586	0.0035	0.0031	0.0010	0.0048
587	0.0018	0.0002	0.0020	0.0027
588	0.0014	0.0010	0.0009	0.0019
589	0.0006	0.0006	0.0006	0.0010
590	0.0013	0.0011	0.0009	0.0020
591	0.0004	0.0010	0.0024	0.0026
592	0.0021	0.0005	0.0012	0.0024
593	0.0013	0.0020	0.0029	0.0038
594	0.0029	0.0013	0.0018	0.0037
595	0.0028	0.0021	0.0016	0.0039
596	0.0015	0.0005	0.0021	0.0026
597	0.0025	0.0013	0.0018	0.0033
598	0.0010	0.0008	0.0013	0.0018
599	0.0017	0.0008	0.0016	0.0025
600	0.0036	0.0004	0.0015	0.0040
601	0.0014	0.0010	0.0024	0.0030
602	0.0060	0.0003	0.0026	0.0065
603	0.0176	0.0057	0.0102	0.0211
604	0.0049	0.0014	0.0035	0.0061
605	0.0028	0.0021	0.0002	0.0035
606	0.0034	0.0008	0.0025	0.0043
607	0.0011	0.0009	0.0007	0.0016
608	0.0006	0.0013	0.0003	0.0015
609	0.0015	0.0005	0.0015	0.0022
610	0.0033	0.0014	0.0013	0.0038
611	0.0012	0.0009	0.0031	0.0034
612	0.0021	0.0005	0.0005	0.0022
613	0.0013	0.0004	0.0026	0.0029
614	0.0020	0.0019	0.0011	0.0030
615	0.0020	0.0006	0.0007	0.0022
616	0.0005	0.0014	0.0018	0.0023
617	0.0027	0.0010	0.0007	0.0029
618	0.0022	0.0003	0.0014	0.0026
619	0.0022	0.0014	0.0004	0.0026
620	0.0033	0.0020	0.0017	0.0042
621	0.0008	0.0012	0.0003	0.0015
622	0.0025	0.0009	0.0015	0.0030
623	0.0019	0.0015	0.0027	0.0036
624	0.0008	0.0018	0.0010	0.0022
625	0.0016	0.0007	0.0005	0.0018
626	0.0005	0.0015	0.0005	0.0017
627	0.0019	0.0014	0.0006	0.0024
628	0.0015	0.0003	0.0008	0.0017
