Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
336	0.0017	0.0009	0.0016	0.0025
337	0.0008	0.0011	0.0008	0.0016
338	0.0021	0.0004	0.0019	0.0029
339	0.0005	0.0017	0.0018	0.0025
340	0.0014	0.0005	0.0027	0.0031
341	0.0006	0.0012	0.0013	0.0018
342	0.0003	0.0004	0.0014	0.0015
343	0.0016	0.0022	0.0038	0.0047
344	0.0010	0.0020	0.0025	0.0034
345	0.0018	0.0002	0.0005	0.0018
346	0.0009	0.0011	0.0019	0.0023
347	0.0003	0.0008	0.0026	0.0027
348	0.0011	0.0011	0.0014	0.0021
349	0.0011	0.0003	0.0026	0.0028
350	0.0009	0.0008	0.0017	0.0021
351	0.0016	0.0006	0.0003	0.0017
352	0.0017	0.0011	0.0004	0.0021
353	0.0013	0.0009	0.0008	0.0018
354	0.0013	0.0005	0.0022	0.0026
355	0.0008	0.0015	0.0019	0.0025
356	0.0022	0.0011	0.0003	0.0025
357	0.0006	0.0011	0.0029	0.0032
358	0.0012	0.0008	0.0011	0.0019
359	0.0024	0.0006	0.0006	0.0025
360	0.0018	0.0015	0.0045	0.0051
361	0.0008	0.0011	0.0019	0.0024
362	0.0035	0.0006	0.0009	0.0036
363	0.0012	0.0007	0.0015	0.0020
364	0.0023	0.0009	0.0006	0.0026
365	0.0007	0.0019	0.0021	0.0029
366	0.0023	0.0004	0.0032	0.0039
367	0.0009	0.0013	0.0023	0.0028
368	0.0006	0.0009	0.0029	0.0031
369	0.0010	0.0011	0.0034	0.0037
370	0.0020	0.0015	0.0012	0.0028
371	0.0003	0.0007	0.0031	0.0032
372	0.0008	0.0013	0.0022	0.0027
373	0.0006	0.0008	0.0018	0.0021
374	0.0008	0.0008	0.0026	0.0028
375	0.0024	0.0005	0.0001	0.0024
376	0.0017	0.0007	0.0015	0.0023
377	0.0005	0.0014	0.0049	0.0052
378	0.0015	0.0015	0.0024	0.0032
379	0.0013	0.0003	0.0015	0.0020
380	0.0006	0.0012	0.0009	0.0016
381	0.0013	0.0006	0.0010	0.0018
382	0.0004	0.0007	0.0022	0.0024
383	0.0005	0.0006	0.0019	0.0021
384	0.0016	0.0020	0.0010	0.0027
385	0.0013	0.0012	0.0012	0.0021
386	0.0004	0.0009	0.0021	0.0023
387	0.0021	0.0001	0.0011	0.0023
388	0.0008	0.0012	0.0004	0.0015
389	0.0011	0.0012	0.0004	0.0017
390	0.0015	0.0020	0.0004	0.0025
391	0.0029	0.0010	0.0009	0.0032
392	0.0007	0.0003	0.0002	0.0008
393	0.0035	0.0012	0.0051	0.0063
